step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
277000	277	4.69723	28183.4	7173.42	4681.08	2190.06	2984.15	20596.7	747
278000	278	4.54803	27288.2	7288.69	4510.91	2115.52	2907.56	20360.4	749
279000	279	4.65177	27910.6	6969.81	4879.01	2243.62	2875.41	20202.8	751
280000	280	4.57448	27446.9	6716.39	4655.76	2274.49	3254.48	20396.8	754
281000	281	4.60828	27649.7	7082.76	4519.92	2299.48	1725.41	20174.8	754
282000	282	4.625	27750	7122.51	4689.73	2331.99	2586.52	20316	756
283000	283	4.53857	27231.4	7573.94	4679.48	2225.26	3138.8	20642.6	759
284000	284	4.57003	27420.2	7368.53	4876.54	2264.76	2827.28	20347.6	761
285000	285	4.61457	27687.4	6835.03	4672.95	2407.73	2937.14	20179.2	764
286000	286	4.60669	27640.2	6851.56	5077.52	2406.28	4080.61	20581.6	768
287000	287	4.69557	28173.4	7213.53	4598.45	2331.84	2446.46	20782.4	769
288000	288	4.59226	27553.6	6934.71	4450.62	2431.64	1971.46	20033.1	769
289000	289	4.68097	28085.8	6676.98	4557.74	2369.71	2194.52	20592.1	770
290000	290	4.6322	27793.2	7027.69	4741.92	2299.53	2633.81	20609.7	772
291000	291	4.64285	27857.1	7169.23	4454.95	2243.58	2807.37	20906.8	774
292000	292	4.62343	27740.6	7455.89	4560.42	2235.16	3270.76	20274.3	778
293000	293	4.633	27798	7199.72	4519.11	2441.97	2766.96	20333.3	781
294000	294	4.53071	27184.3	7091.17	4450.22	2265.01	2868.78	20360.7	783
295000	295	4.53621	27217.3	7100.24	4647.98	2385.91	2582.57	20814.2	785
296000	296	4.6697	28018.2	7040.63	4698.58	2288.2	2258.64	20724.6	786
297000	297	4.61902	27714.1	7272.03	4867.06	2349.04	3601.41	20472.6	790
298000	298	4.72648	28358.9	7358.95	4677.32	2412.31	2520.9	20649.7	791
299000	299	4.63392	27803.5	6812.59	4847.68	2483.6	2972.15	20259.4	793
300000	300	4.56846	27410.8	7363.12	4895.08	2310.29	3089.01	20275.9	795
301000	301	4.69111	28146.7	6945.5	4532.29	2395.95	1934.18	20215.7	795
302000	302	4.71791	28307.5	6824.35	4712.66	2280.7	2494.76	20390.8	796
303000	303	4.60934	27656	7144.34	4832.91	2267.25	2845.27	20249.8	798
304000	304	4.63762	27825.7	7007.86	4583.93	2328.59	3280.11	20492.5	801
305000	305	4.71764	28305.8	7400.86	4492.92	2359.23	2215.37	20626.7	802
306000	306	4.55222	27313.3	7110.7	4648.69	2407.36	2445.09	20242.5	804
307000	307	4.64161	27849.7	6899.81	4718.17	2371	3249.81	20112.3	806
308000	308	4.72791	28367.5	7052.28	4718.72	2410.45	3517.35	20998.1	809
309000	309	4.59891	27593.5	7551.34	4988.67	2439.84	3820.31	20884.1	813
310000	310	4.67185	28031.1	7739.4	4859.95	2436.79	2495.13	20742.9	814
311000	311	4.66835	28010.1	7182.28	4551.81	2443.99	2040.76	20438.6	814
312000	312	4.70859	28251.5	7090.4	4831.46	2464.13	3419.87	20280.6	817
313000	313	4.66891	28013.4	7474.19	4697.55	2485.57	2521.78	20356.2	818
314000	314	4.57618	27457.1	6890.35	4616.44	2507.03	3096.65	20432	820
315000	315	4.62936	27776.1	7259.04	4680.36	2425.76	2984.64	20095.2	824
316000	316	4.70776	28246.5	6948.65	4719.33	2414.11	4407.27	20102.7	829
317000	317	4.59743	27584.6	7352.17	4835.32	2527.51	2964.74	20765.6	832
318000	318	4.6835	28101	7345.75	4910.47	2430.8	3128.83	20142.8	834
319000	319	4.51771	27106.2	7216.29	4647.19	2406	3040.83	20164.7	836
320000	320	4.6114	27668.4	6912.5	4868.5	2647.04	2577.87	20736	838
321000	321	4.62194	27731.6	7327.23	4879.47	2497.01	4179.47	20464.5	842
322000	322	4.60599	27635.9	7631.11	4584.4	2437.51	3210.26	20532.3	844
323000	323	4.76361	28581.7	7302.48	4657.02	2609.61	3776.14	20329.6	847
324000	324	4.64876	27892.6	7214.18	4615.31	2589.89	2340.85	20666.4	848
325000	325	4.70426	28225.6	7310.47	4513.04	2624.88	2817.76	20777	849
326000	326	4.70964	28257.8	7351.73	4818.79	2443.6	3024.93	20776.9	851
327000	327	4.64872	27892.3	7333.5	4831.07	2589.91	2112.93	20283.6	851
328000	328	4.61837	27710.2	7496.66	4759.76	2637.16	2641.92	20247.3	852
