# t cr num_loops avg_loops
2.600000000000000000e+05 1.771000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.610000000000000000e+05 1.771000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.620000000000000000e+05 1.773000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.630000000000000000e+05 1.773000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.640000000000000000e+05 1.775000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.650000000000000000e+05 1.776000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.660000000000000000e+05 1.776000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.670000000000000000e+05 1.776000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.680000000000000000e+05 1.775000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.690000000000000000e+05 1.777000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.700000000000000000e+05 1.776000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.710000000000000000e+05 1.777000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.720000000000000000e+05 1.777000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.730000000000000000e+05 1.777000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.740000000000000000e+05 1.778000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.750000000000000000e+05 1.778000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.760000000000000000e+05 1.777000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.770000000000000000e+05 1.775000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.780000000000000000e+05 1.776000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.790000000000000000e+05 1.777000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.800000000000000000e+05 1.777000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.810000000000000000e+05 1.776000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.820000000000000000e+05 1.775000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.830000000000000000e+05 1.776000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.840000000000000000e+05 1.777000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.850000000000000000e+05 1.780000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.860000000000000000e+05 1.779000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
