step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
315000	315	4.40934	26456	246.369	5305.73	4290.51	0	0	25717.4	0
316000	316	4.47675	26860.5	246.726	5166.55	4588.25	0	0	25527.1	0
317000	317	4.47567	26854	248.209	5405.41	4294.99	0	0	25863.3	0
318000	318	4.47476	26848.6	253.33	5083.51	4420.99	0	0	25495.1	0
319000	319	4.42215	26532.9	245.765	5479.61	4176.98	0	0	25278.5	0
320000	320	4.43483	26609	248.117	5336.16	4360.07	0	0	25611.1	0
321000	321	4.40541	26432.4	257.454	5418.45	4552.77	0	0	25380	0
322000	322	4.41897	26513.8	238.461	5035.4	4417.98	0	0	25544.7	0
323000	323	4.41885	26513.1	247.802	5269.62	4714.19	0	0	25435.8	0
324000	324	4.48399	26903.9	251.019	5220.84	4424.29	0	0	25533.4	0
325000	325	4.50544	27032.6	239.89	5028.29	4242.91	0	0	25632.3	0
326000	326	4.45632	26737.9	249.887	5100.16	4513.99	0	0	25948.1	0
327000	327	4.32343	25940.6	241.94	5325.2	4601.19	0	0	25303.5	0
328000	328	4.45502	26730.1	251.386	5352.31	4398.68	0	0	25564.3	0
329000	329	4.44037	26642.2	252.619	5065.6	4404.39	0	0	25919.6	0
330000	330	4.42418	26545.1	247.612	5178.71	4441.91	0	0	25568.8	0
331000	331	4.36793	26207.6	244.532	5131.53	4428.48	0	0	25128.9	0
332000	332	4.43593	26615.6	245.329	5027.33	4147.78	0	0	25287.2	0
333000	333	4.41398	26483.9	244.174	5307.08	4262.45	0	0	25661.4	0
334000	334	4.35346	26120.8	237.586	5307.03	4728.92	0	0	25112.3	0
335000	335	4.41721	26503.2	243.21	5340.78	4527.36	0	0	25474.7	0
336000	336	4.52753	27165.2	243.813	5055.3	4435.41	0	0	25305.3	0
337000	337	4.28659	25719.5	242.204	5372.68	4436.76	0	0	25616.5	0
338000	338	4.35682	26140.9	252.381	5299.62	4470.06	0	0	26283.4	0
339000	339	4.45581	26734.8	249.052	5290.14	4336.53	0	0	25351.5	0
340000	340	4.46465	26787.9	247.667	5528.41	4451.07	0	0	25402	0
341000	341	4.42244	26534.7	242.996	5311.53	4696.85	0	0	25539.3	0
342000	342	4.43071	26584.3	245.386	5078.93	4448.92	0	0	25203.3	0
343000	343	4.41591	26495.5	239.771	5242.04	4481.82	0	0	25601.8	0
