step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	cr_5	count_0	Fmax
247000	247	2.44697	14681.8	159.226	2585.24	0	0	-11504.3	0	0	0	7000
248000	248	2.45317	14719	213.393	2287.46	0	0	-11437.9	0	0	0	7000
249000	249	2.5256	15153.6	161.329	2411.73	0	0	-11615	0	0	0	7000
250000	250	2.46628	14797.7	141.729	2505.14	0	0	-11496.2	0	0	0	7000
251000	251	2.50113	15006.8	201.846	2427.44	0	0	-11782.1	0	0	0	7162.29
252000	252	2.46729	14803.7	186.409	2318.5	0	0	-11862.4	0	0	0	7000
253000	253	2.44339	14660.3	186.391	2311.43	0	0	-11523.5	0	0	0	7000
254000	254	2.48078	14884.7	170.672	2397.93	0	0	-11891.8	0	0	0	7000
255000	255	2.45802	14748.1	183.762	2285.42	0	0	-11763.9	0	0	0	7000
256000	256	2.4731	14838.6	169.904	2312.13	0	0	-11511	0	0	0	7000
257000	257	2.4688	14812.8	174.68	2463.7	0	0	-11829.2	0	0	0	7000
258000	258	2.43811	14628.6	174.332	2483.85	0	0	-11644.8	0	0	0	7353.43
259000	259	2.47347	14840.8	180.799	2364.67	0	0	-11599	0	0	0	7198.42
260000	260	2.4385	14631	169.481	2409.27	0	0	-11724.1	0	0	0	7000
261000	261	2.46565	14793.9	187.649	2287.25	0	0	-11872.3	0	0	0	7000
262000	262	2.47687	14861.2	194.3	2281.13	0	0	-11610.1	0	0	0	7000
263000	263	2.37356	14241.4	156.446	2548.31	0	0	-11531.2	0	0	0	7000
264000	264	2.54251	15255.1	188.95	2499.8	0	0	-11396.8	0	0	0	7279.15
265000	265	2.50557	15033.4	167.772	2662.83	0	0	-11568.8	0	0	0	7000
266000	266	2.44047	14642.8	187.532	2446.94	0	0	-11745.4	0	0	0	7000
267000	267	2.50258	15015.5	169.192	2338.65	0	0	-11757.6	0	0	0	7000
268000	268	2.4756	14853.6	149.473	2402.92	0	0	-11614.2	0	0	0	7000
269000	269	2.45242	14714.5	177.344	2327.96	0	0	-11799.4	0	0	0	7000
270000	270	2.5205	15123	210.118	2398.04	0	0	-11809.9	0	0	0	8114.57
271000	271	2.5086	15051.6	150.102	2479.94	0	0	-11283.3	0	0	0	7141.07
272000	272	2.51935	15116.1	162.634	2494.22	0	0	-11811.6	0	0	0	7000
273000	273	2.46823	14809.4	122.519	2269	0	0	-11515.8	0	0	0	7000
274000	274	2.47675	14860.5	168.005	2377.65	0	0	-11531	0	0	0	7225.48
275000	275	2.42228	14533.7	197.549	2453.67	0	0	-11541.2	0	0	0	7000
276000	276	2.46479	14788.8	205.578	2620.92	0	0	-11861.2	0	0	0	7552.25
277000	277	2.53213	15192.8	222.678	2418.78	0	0	-11706.2	0	0	0	7000
278000	278	2.55095	15305.7	131.424	2416.9	0	0	-11660.3	0	0	0	7000
279000	279	2.45586	14735.2	196.41	2453.03	0	0	-11527.1	0	0	0	7000
280000	280	2.49198	14951.9	154.384	2404.12	0	0	-11794.5	0	0	0	7000
281000	281	2.49809	14988.5	205.755	2388.96	0	0	-11432.5	0	0	0	7000
282000	282	2.48832	14929.9	178.231	2383.3	0	0	-11493.3	0	0	0	7000
