step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	count_0	Fmax
292000	292	2.47106	14826.3	179.517	2378.48	0	0	-11355	0	0	6180.78
293000	293	2.5024	15014.4	186.335	2476.68	0	0	-11474.5	0	0	6142.45
294000	294	2.42271	14536.3	199.301	2300.33	0	0	-11553.2	0	0	6445.12
295000	295	2.40629	14437.8	184.428	2257.67	0	0	-11414.3	0	0	6378.37
296000	296	2.46599	14795.9	186.791	2319.2	0	0	-11390.5	0	0	6904.07
297000	297	2.52243	15134.6	203.007	2393.53	0	0	-11431.3	0	0	6952.38
298000	298	2.51393	15083.6	187.949	2429.89	0	0	-11377.2	0	0	6977.33
299000	299	2.44179	14650.7	164.317	2385.34	0	0	-11370.9	0	0	6304.61
300000	300	2.53621	15217.3	173.219	2444.93	0	0	-11363.4	0	0	6598.76
301000	301	2.44373	14662.4	175.998	2328.01	0	0	-11305.9	0	0	6817.22
302000	302	2.49328	14959.7	184.096	2362.89	0	0	-11293.1	0	0	6434.94
303000	303	2.45801	14748	168.855	2456.68	0	0	-11375.3	0	0	7804.11
304000	304	2.44007	14640.4	141.595	2320.42	0	0	-11318.3	0	0	6453.61
305000	305	2.43977	14638.6	207.479	2522.96	0	0	-11437.3	0	0	6336.4
306000	306	2.45866	14752	188.51	2350.88	0	0	-11557.4	0	0	6112.71
307000	307	2.48787	14927.2	142.758	2338.93	0	0	-11556.8	0	0	6830.43
308000	308	2.4907	14944.2	168.037	2418.42	0	0	-11670.7	0	0	6183.1
309000	309	2.50362	15021.7	137.948	2416.76	0	0	-11492.7	0	0	6580.86
310000	310	2.50879	15052.8	182.23	2412.48	0	0	-11483.7	0	0	6180.97
311000	311	2.47145	14828.7	188.353	2483.06	0	0	-11437.9	0	0	6770.06
312000	312	2.47232	14833.9	174.756	2359.39	0	0	-11721.1	0	0	6506.32
313000	313	2.51145	15068.7	160.174	2500.54	0	0	-11450.1	0	0	6804.25
314000	314	2.50782	15046.9	210.411	2361.32	0	0	-11314.8	0	0	6642.96
315000	315	2.47668	14860.1	178.97	2437.73	0	0	-11374.4	0	0	6340.29
316000	316	2.4645	14787	183.883	2565.16	0	0	-11555.9	0	0	6695.85
317000	317	2.49542	14972.5	156.24	2458.4	0	0	-11561.9	0	0	6862.43
