step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	tab-scaled_0	cr_3	count_0	res_fpl_0
232000	232	4.46336	26780.2	0	5389.79	4455.35	0	15615.4	0	10042.5	0	0	-nan
233000	233	4.35763	26145.8	0	5275.33	4603.49	0	15706.3	0	9870.17	0	0	-nan
234000	234	4.39079	26344.7	0	5202.11	4484.2	0	15660.5	0	9944.43	0	0	-nan
235000	235	4.49802	26988.1	0	4939.17	4466.7	0	15630.6	0	9986.25	0	0	-nan
236000	236	4.41559	26493.6	0	5185.72	4573.73	0	15451.5	0	9859.88	0	0	-nan
237000	237	4.37339	26240.3	0	5089.52	4500.16	0	15333.1	0	9826.49	0	0	-nan
238000	238	4.38809	26328.5	0	5297.09	4588.43	0	15343	0	10023.4	0	0	-nan
239000	239	4.54119	27247.2	0	5317.99	4645.06	0	15580.3	0	9596.24	0	0	-nan
240000	240	4.42381	26542.8	0	5323.2	4551.62	0	15435.2	0	9858.2	0	0	-nan
241000	241	4.47332	26839.9	0	5278.36	4514.46	0	15015.2	0	9986.8	0	0	-nan
242000	242	4.38849	26330.9	0	5090.77	4370.62	0	15045.6	0	10205.6	0	0	-nan
243000	243	4.38195	26291.7	0	5307.17	4307.06	0	15532.9	0	9923.86	0	0	-nan
244000	244	4.58159	27489.5	0	5116.6	4533.68	0	15725.3	0	10160.4	0	0	-nan
245000	245	4.47246	26834.8	0	5308.46	4404.77	0	15577.2	0	9958.51	0	0	-nan
246000	246	4.37652	26259.1	0	5309.29	4312.54	0	15681.3	0	10183	0	0	-nan
247000	247	4.39327	26359.6	0	5453.56	4493.62	0	15659.3	0	10233.7	0	0	-nan
248000	248	4.45907	26754.4	0	5354.47	4423.02	0	15350.2	0	10030.8	0	0	-nan
249000	249	4.45116	26706.9	0	5465.84	4347.52	0	15399.9	0	10281.9	0	0	-nan
250000	250	4.39999	26400	0	5377.77	4632.51	0	15457.7	0	10045.3	0	0	-nan
251000	251	4.48878	26932.7	0	5198.98	4261.79	0	16057.7	0	9959.28	0	0	-nan
252000	252	4.47457	26847.4	0	5250.02	4306.9	0	15491.3	0	9689.35	0	0	-nan
253000	253	4.47017	26821	0	5380.88	4320.91	0	15483.1	0	10262.4	0	0	-nan
254000	254	4.47744	26864.6	0	5212.07	4583.14	0	15485.8	0	10011.3	0	0	-nan
255000	255	4.52579	27154.8	0	5141.62	4320.38	0	15888.8	0	10109.4	0	0	-nan
